tcpport;dpid
52326;['0000000000000062', '19:46:10.988035000']
52324;['0000000000000067', '19:46:10.986631000']
52248;['0000000000000058', '19:46:09.640774000']
52038;['0000000000000018', '19:46:04.311170000']
52518;['000000000000009d', '19:46:19.849966000']
52054;['0000000000000002', '19:46:04.315759000']
52056;['0000000000000015', '19:46:04.316260000']
52050;['000000000000000a', '19:46:04.314548000']
52052;['0000000000000016', '19:46:04.315046000']
52114;['0000000000000025', '19:46:05.439370000']
52344;['0000000000000068', '19:46:12.052664000']
52116;['0000000000000020', '19:46:05.443773000']
52328;['000000000000006e', '19:46:12.033670000']
52110;['000000000000002b', '19:46:05.430374000']
52058;['000000000000000d', '19:46:04.316779000']
52112;['0000000000000022', '19:46:05.437166000']
52342;['0000000000000072', '19:46:12.052375000']
52626;['00000000000000bb', '19:46:23.757390000']
52624;['00000000000000b8', '19:46:23.756783000']
52824;['00000000000000eb', '19:46:37.185479000']
52622;['00000000000000b6', '19:46:23.754446000']
52350;['0000000000000063', '19:46:12.055293000']
52620;['00000000000000b9', '19:46:23.181007000']
52822;['00000000000000df', '19:46:37.175939000']
52412;['000000000000008b', '19:46:15.164974000']
52806;['00000000000000e6', '19:46:37.119540000']
52628;['00000000000000a9', '19:46:23.757599000']
52716;['00000000000000d7', '19:46:30.601592000']
52800;['00000000000000dd', '19:46:37.069263000']
52338;['0000000000000074', '19:46:12.051039000']
52022;['0000000000000013', '19:46:04.306221000']
52232;['000000000000004d', '19:46:08.893059000']
52024;['0000000000000001', '19:46:04.306953000']
52234;['0000000000000056', '19:46:08.894700000']
52026;['0000000000000006', '19:46:04.307678000']
52236;['0000000000000049', '19:46:08.896039000']
52028;['0000000000000003', '19:46:04.308363000']
52238;['000000000000005a', '19:46:09.638792000']
52332;['0000000000000070', '19:46:12.045416000']
52180;['0000000000000034', '19:46:07.463210000']
52334;['000000000000006f', '19:46:12.046126000']
52186;['0000000000000039', '19:46:07.463838000']
52336;['000000000000006d', '19:46:12.050716000']
52184;['0000000000000033', '19:46:07.463605000']
52046;['000000000000000e', '19:46:04.313547000']
52168;['000000000000003d', '19:46:07.462009000']
52044;['0000000000000005', '19:46:04.313043000']
52698;['00000000000000c7', '19:46:30.580090000']
52042;['0000000000000012', '19:46:04.312394000']
52804;['00000000000000ec', '19:46:37.107420000']
52040;['0000000000000004', '19:46:04.311884000']
52506;['000000000000009a', '19:46:19.846790000']
52356;['0000000000000078', '19:46:12.059181000']
52160;['000000000000003c', '19:46:06.808633000']
52354;['0000000000000076', '19:46:12.058897000']
52162;['0000000000000044', '19:46:06.810409000']
52352;['0000000000000077', '19:46:12.057195000']
52164;['0000000000000038', '19:46:06.811808000']
52048;['0000000000000017', '19:46:04.314050000']
52166;['0000000000000042', '19:46:07.461815000']
52612;['00000000000000b3', '19:46:23.169836000']
52504;['0000000000000092', '19:46:19.846274000']
52616;['00000000000000aa', '19:46:23.173496000']
52810;['00000000000000ef', '19:46:37.121158000']
52614;['00000000000000ba', '19:46:23.171026000']
52414;['000000000000007e', '19:46:15.169669000']
52618;['00000000000000ab', '19:46:23.180512000']
52348;['000000000000006a', '19:46:12.053250000']
52500;['00000000000000a1', '19:46:19.845872000']
52424;['000000000000008c', '19:46:15.633013000']
52426;['000000000000007b', '19:46:15.633754000']
52420;['0000000000000082', '19:46:15.631192000']
52422;['0000000000000079', '19:46:15.632675000']
52428;['000000000000008a', '19:46:15.634274000']
52072;['000000000000002f', '19:46:05.393728000']
52178;['0000000000000036', '19:46:07.463023000']
52070;['0000000000000026', '19:46:05.392729000']
52076;['0000000000000030', '19:46:05.396029000']
52074;['000000000000001a', '19:46:05.395043000']
52172;['0000000000000041', '19:46:07.462407000']
52362;['0000000000000065', '19:46:12.074719000']
52170;['0000000000000035', '19:46:07.462209000']
52078;['000000000000001c', '19:46:05.397283000']
52176;['0000000000000045', '19:46:07.462816000']
52366;['000000000000006c', '19:46:12.085776000']
52174;['0000000000000040', '19:46:07.462607000']
52340;['0000000000000061', '19:46:12.051821000']
52812;['00000000000000e1', '19:46:37.134963000']
52416;['000000000000007c', '19:46:15.170359000']
52604;['00000000000000b5', '19:46:23.160888000']
52606;['00000000000000bf', '19:46:23.163248000']
52508;['0000000000000094', '19:46:19.847301000']
52600;['00000000000000af', '19:46:23.149563000']
52602;['00000000000000bd', '19:46:23.149850000']
52792;['00000000000000e2', '19:46:37.050592000']
52704;['00000000000000d5', '19:46:30.583538000']
52496;['00000000000000a8', '19:46:19.844400000']
52598;['00000000000000c0', '19:46:23.149247000']
52706;['00000000000000cf', '19:46:30.586870000']
52596;['00000000000000ac', '19:46:23.148961000']
52592;['00000000000000ad', '19:46:23.134592000']
52594;['00000000000000ae', '19:46:23.145699000']
52512;['0000000000000091', '19:46:19.848531000']
52814;['00000000000000ea', '19:46:37.143371000']
