tcpport;dpid
34572;['00000000000000df', '18:28:52.554469000']
34188;['0000000000000078', '18:28:46.554031000']
34234;['000000000000005f', '18:28:46.563274000']
34236;['000000000000006d', '18:28:46.564455000']
34028;['000000000000001a', '18:28:44.505653000']
34182;['0000000000000069', '18:28:46.552997000']
34332;['0000000000000090', '18:28:49.094852000']
34180;['0000000000000060', '18:28:46.552721000']
34334;['00000000000000d1', '18:28:49.095693000']
34186;['0000000000000061', '18:28:46.553646000']
34336;['00000000000000c3', '18:28:49.095975000']
34184;['0000000000000053', '18:28:46.553375000']
34046;['000000000000003a', '18:28:44.509830000']
34168;['000000000000006b', '18:28:46.550229000']
34044;['0000000000000028', '18:28:44.509369000']
34294;['0000000000000052', '18:28:46.581972000']
34042;['0000000000000005', '18:28:44.508931000']
34292;['0000000000000066', '18:28:46.581694000']
34040;['0000000000000029', '18:28:44.508471000']
34290;['0000000000000071', '18:28:46.580992000']
34356;['00000000000000c7', '18:28:49.103321000']
34160;['0000000000000027', '18:28:44.535330000']
34354;['0000000000000091', '18:28:49.103021000']
34162;['000000000000003d', '18:28:44.535779000']
34352;['00000000000000ad', '18:28:49.100858000']
34164;['0000000000000020', '18:28:44.536253000']
34048;['0000000000000012', '18:28:44.510292000']
34166;['0000000000000038', '18:28:44.536717000']
34516;['00000000000000fc', '18:28:52.538092000']
34438;['00000000000000ab', '18:28:49.137961000']
34194;['000000000000007b', '18:28:46.555002000']
34424;['00000000000000a4', '18:28:49.133058000']
34196;['000000000000006c', '18:28:46.555481000']
34548;['00000000000000e2', '18:28:52.547675000']
34190;['0000000000000063', '18:28:46.554409000']
34192;['0000000000000051', '18:28:46.554726000']
34198;['000000000000007d', '18:28:46.556093000']
34426;['000000000000009d', '18:28:49.133949000']
34222;['000000000000005c', '18:28:46.560997000']
34220;['000000000000005b', '18:28:46.560527000']
34226;['000000000000004d', '18:28:46.561760000']
34224;['000000000000004c', '18:28:46.561383000']
34420;['00000000000000cb', '18:28:49.132059000']
34228;['0000000000000067', '18:28:46.562235000']
34584;['00000000000000da', '18:28:52.557369000']
34428;['00000000000000b2', '18:28:48.809376000']
34582;['00000000000000e0', '18:28:52.557094000']
34580;['0000000000000107', '18:28:52.556484000']
34280;['0000000000000064', '18:28:46.577803000']
34072;['0000000000000017', '18:28:44.515679000']
34178;['0000000000000089', '18:28:46.552335000']
34070;['0000000000000007', '18:28:44.515208000']
34284;['0000000000000085', '18:28:46.579039000']
34076;['000000000000002d', '18:28:44.516577000']
34286;['000000000000005a', '18:28:46.579512000']
34074;['0000000000000004', '18:28:44.516148000']
34172;['0000000000000054', '18:28:46.550923000']
34362;['00000000000000a3', '18:28:49.104836000']
34170;['000000000000008c', '18:28:46.550526000']
34078;['0000000000000011', '18:28:44.517031000']
34176;['0000000000000079', '18:28:46.551834000']
34366;['00000000000000b4', '18:28:49.107727000']
34174;['0000000000000073', '18:28:46.551433000']
34364;['00000000000000c6', '18:28:49.106428000']
34460;['00000000000000f8', '18:28:52.519805000']
34566;['00000000000000ff', '18:28:52.553204000']
34560;['0000000000000100', '18:28:52.550614000']
34562;['00000000000000d7', '18:28:52.551199000']
34568;['00000000000000db', '18:28:52.553911000']
34502;['000000000000010e', '18:28:52.533462000']
34456;['00000000000000e9', '18:28:52.518398000']
34464;['0000000000000112', '18:28:52.520883000']
34450;['00000000000000de', '18:28:52.516908000']
34452;['00000000000000ee', '18:28:52.517199000']
34454;['0000000000000105', '18:28:52.518115000']
34218;['0000000000000050', '18:28:46.559944000']
34216;['0000000000000070', '18:28:46.559669000']
34214;['000000000000006a', '18:28:46.559382000']
34212;['0000000000000065', '18:28:46.559109000']
34210;['000000000000008b', '18:28:46.558508000']
34068;['0000000000000033', '18:28:44.514735000']
34278;['000000000000004a', '18:28:46.577188000']
34064;['0000000000000036', '18:28:44.513872000']
34274;['000000000000005d', '18:28:46.575950000']
34066;['0000000000000003', '18:28:44.514323000']
34276;['000000000000004f', '18:28:46.576660000']
34060;['0000000000000019', '18:28:44.513009000']
34270;['000000000000006f', '18:28:46.574779000']
34062;['0000000000000034', '18:28:44.513443000']
34272;['0000000000000059', '18:28:46.575261000']
