tcpport;dpid
58220;['000000000000007c', '18:59:57.648565000']
58168;['000000000000006e', '18:59:55.968086000']
58444;['00000000000000f0', '19:00:12.394088000']
58430;['00000000000000e5', '19:00:10.333527000']
58514;['000000000000010b', '19:00:19.787075000']
57984;['000000000000000a', '18:59:51.512686000']
58346;['00000000000000c1', '19:00:04.932343000']
57986;['000000000000000b', '18:59:51.513032000']
58344;['00000000000000c4', '19:00:04.931529000']
57980;['0000000000000005', '18:59:51.512047000']
58342;['00000000000000b5', '19:00:03.469125000']
57982;['0000000000000003', '18:59:51.512368000']
58340;['00000000000000b2', '19:00:03.468591000']
58496;['00000000000000ff', '19:00:17.206506000']
57988;['0000000000000008', '18:59:51.513350000']
58348;['00000000000000c5', '19:00:04.932759000']
58372;['00000000000000c7', '19:00:06.560229000']
58268;['0000000000000091', '18:59:59.618208000']
58078;['000000000000002f', '18:59:53.142515000']
58162;['0000000000000061', '18:59:55.301252000']
58264;['0000000000000093', '18:59:59.617084000']
58074;['000000000000002d', '18:59:53.141722000']
58266;['0000000000000094', '18:59:59.617829000']
58076;['0000000000000033', '18:59:53.142094000']
58260;['0000000000000095', '18:59:59.614924000']
58070;['0000000000000031', '18:59:53.140797000']
58262;['0000000000000099', '18:59:59.616103000']
58072;['0000000000000037', '18:59:53.141238000']
58478;['0000000000000105', '19:00:17.199745000']
58160;['000000000000005b', '18:59:55.300891000']
58470;['00000000000000fd', '19:00:14.640446000']
58472;['00000000000000f5', '19:00:14.641238000']
58474;['00000000000000fb', '19:00:14.641589000']
58166;['000000000000005c', '18:59:55.302132000']
58164;['0000000000000063', '18:59:55.301693000']
58350;['00000000000000bf', '19:00:04.933525000']
58100;['0000000000000038', '18:59:53.627179000']
58352;['00000000000000c6', '19:00:04.933989000']
58102;['000000000000004d', '18:59:54.133059000']
58354;['00000000000000c2', '19:00:04.934447000']
58104;['000000000000004b', '18:59:54.133544000']
58356;['00000000000000be', '19:00:04.935199000']
58106;['0000000000000045', '18:59:54.133947000']
58358;['00000000000000c3', '19:00:04.935744000']
58108;['0000000000000046', '18:59:54.134526000']
58504;['0000000000000113', '19:00:19.783512000']
58218;['0000000000000082', '18:59:57.648037000']
