tcpport;dpid
36346;['00000000000000b4', '19:07:01.088943000']
36228;['0000000000000070', '19:06:55.051317000']
36502;['0000000000000103', '19:07:13.874773000']
36526;['0000000000000113', '19:07:16.142788000']
36220;['0000000000000075', '19:06:55.049245000']
36222;['0000000000000074', '19:06:55.049639000']
36224;['000000000000006f', '19:06:55.050238000']
36226;['0000000000000072', '19:06:55.050888000']
36534;['000000000000010d', '19:07:16.146379000']
36536;['000000000000010b', '19:07:16.147705000']
36308;['00000000000000a1', '19:06:58.613821000']
36530;['0000000000000112', '19:07:16.143907000']
36532;['0000000000000109', '19:07:16.145170000']
36382;['00000000000000bd', '19:07:02.391816000']
36302;['000000000000009f', '19:06:58.611794000']
36300;['000000000000009b', '19:06:58.611258000']
36538;['000000000000010f', '19:07:16.148212000']
36306;['00000000000000a0', '19:06:58.613336000']
36304;['000000000000009c', '19:06:58.612367000']
36144;['0000000000000048', '19:06:52.464405000']
36028;['000000000000000d', '19:06:50.128890000']
36146;['000000000000004e', '19:06:53.017397000']
36140;['0000000000000049', '19:06:52.463583000']
36142;['0000000000000043', '19:06:52.464052000']
36022;['0000000000000012', '19:06:50.127601000']
36434;['00000000000000e3', '19:07:07.204265000']
36020;['0000000000000015', '19:06:50.127162000']
36388;['00000000000000cf', '19:07:03.849990000']
36026;['000000000000000c', '19:06:50.128470000']
36148;['0000000000000051', '19:06:53.018106000']
36024;['000000000000000e', '19:06:50.128005000']
36386;['00000000000000bc', '19:07:02.393593000']
36448;['00000000000000e7', '19:07:07.211185000']
36490;['00000000000000fa', '19:07:11.500084000']
36496;['00000000000000f5', '19:07:11.501958000']
36494;['00000000000000fb', '19:07:11.501604000']
36384;['00000000000000c0', '19:07:02.392621000']
36314;['00000000000000a5', '19:06:58.615253000']
36316;['00000000000000a4', '19:06:58.616347000']
36310;['000000000000009d', '19:06:58.622776000']
36312;['00000000000000a2', '19:06:58.614794000']
36098;['0000000000000033', '19:06:51.453838000']
36096;['000000000000002d', '19:06:51.453197000']
36436;['00000000000000e0', '19:07:07.204985000']
36094;['0000000000000037', '19:06:51.452462000']
36318;['00000000000000a3', '19:06:58.617252000']
36092;['0000000000000031', '19:06:51.452029000']
36090;['0000000000000030', '19:06:51.451635000']
36016;['0000000000000011', '19:06:50.125942000']
36014;['0000000000000014', '19:06:50.125535000']
36012;['0000000000000004', '19:06:49.746625000']
36446;['00000000000000e2', '19:07:07.209919000']
36010;['0000000000000008', '19:06:49.746274000']
36254;['0000000000000080', '19:06:55.848086000']
36256;['000000000000008d', '19:06:56.618533000']
36250;['0000000000000083', '19:06:55.845847000']
36018;['0000000000000016', '19:06:50.126451000']
36156;['0000000000000053', '19:06:53.021382000']
36336;['00000000000000a7', '19:06:59.742453000']
36154;['0000000000000057', '19:06:53.020673000']
36152;['0000000000000050', '19:06:53.019846000']
36150;['0000000000000058', '19:06:53.018898000']
36528;['0000000000000110', '19:07:16.143355000']
36394;['00000000000000c7', '19:07:03.851779000']
36510;['0000000000000106', '19:07:13.870981000']
36396;['00000000000000ca', '19:07:03.852414000']
36432;['00000000000000df', '19:07:07.202369000']
36390;['00000000000000cb', '19:07:03.850626000']
36442;['00000000000000de', '19:07:07.207431000']
