tcpport;dpid
60532;['00000000000000e1', '18:13:47.680277000']
60530;['00000000000000e7', '18:13:47.679799000']
60536;['00000000000000d8', '18:13:47.681112000']
60534;['00000000000000d5', '18:13:47.680533000']
60606;['00000000000000e0', '18:13:47.700638000']
60438;['0000000000000095', '18:13:44.799308000']
60432;['000000000000008d', '18:13:44.796705000']
60430;['00000000000000c5', '18:13:44.796167000']
60602;['00000000000000fa', '18:13:47.699788000']
60436;['00000000000000aa', '18:13:44.798149000']
60434;['000000000000008f', '18:13:44.797265000']
60418;['00000000000000bd', '18:13:44.793410000']
60280;['0000000000000083', '18:13:42.404057000']
60426;['000000000000008e', '18:13:44.795344000']
60322;['000000000000007e', '18:13:42.411503000']
60542;['00000000000000fe', '18:13:47.683204000']
60320;['0000000000000084', '18:13:42.411242000']
60448;['00000000000000b2', '18:13:44.801255000']
60326;['0000000000000072', '18:13:42.412250000']
60324;['000000000000007c', '18:13:42.411779000']
60488;['0000000000000106', '18:13:47.666500000']
60486;['0000000000000112', '18:13:47.664888000']
60328;['0000000000000049', '18:13:42.412506000']
60484;['00000000000000dc', '18:13:47.664618000']
60528;['0000000000000109', '18:13:47.679511000']
60482;['00000000000000f8', '18:13:47.663810000']
60480;['00000000000000d9', '18:13:47.663312000']
60154;['0000000000000006', '18:13:40.465296000']
60156;['000000000000002f', '18:13:40.465634000']
60402;['00000000000000c2', '18:13:44.789743000']
60150;['0000000000000013', '18:13:40.464658000']
60152;['0000000000000001', '18:13:40.464959000']
60244;['000000000000005c', '18:13:42.397183000']
60246;['000000000000004c', '18:13:42.397552000']
60158;['0000000000000041', '18:13:40.465965000']
60242;['000000000000005b', '18:13:42.396707000']
60228;['000000000000004b', '18:13:42.394010000']
60238;['0000000000000070', '18:13:42.395871000']
60608;['0000000000000110', '18:13:47.701006000']
60548;['0000000000000111', '18:13:47.685130000']
60498;['000000000000010a', '18:13:47.670084000']
60550;['0000000000000117', '18:13:47.685619000']
60552;['00000000000000dd', '18:13:47.686096000']
60554;['00000000000000eb', '18:13:47.686727000']
60318;['0000000000000075', '18:13:42.410983000']
60490;['00000000000000f1', '18:13:47.666769000']
60316;['0000000000000052', '18:13:42.410624000']
60492;['00000000000000f9', '18:13:47.668053000']
60314;['0000000000000066', '18:13:42.410352000']
60494;['00000000000000e6', '18:13:47.669020000']
60312;['0000000000000071', '18:13:42.409885000']
60496;['0000000000000118', '18:13:47.669807000']
60310;['0000000000000082', '18:13:42.409615000']
60146;['0000000000000045', '18:13:40.463977000']
60068;['000000000000003a', '18:13:40.452665000']
60144;['000000000000001e', '18:13:40.463622000']
60394;['00000000000000ac', '18:13:44.787444000']
60142;['0000000000000040', '18:13:40.463299000']
60392;['00000000000000ae', '18:13:44.785992000']
60140;['0000000000000039', '18:13:40.462962000']
60390;['00000000000000b1', '18:13:44.785532000']
60256;['000000000000005f', '18:13:42.399418000']
60060;['0000000000000026', '18:13:40.451561000']
60254;['0000000000000067', '18:13:42.398955000']
60062;['0000000000000029', '18:13:40.451849000']
60220;['000000000000007d', '18:13:42.392593000']
60064;['0000000000000005', '18:13:40.452127000']
60148;['000000000000002b', '18:13:40.464318000']
60066;['0000000000000028', '18:13:40.452395000']
60600;['0000000000000107', '18:13:47.699468000']
60382;['00000000000000b3', '18:13:44.782935000']
60094;['0000000000000004', '18:13:40.456257000']
60096;['0000000000000017', '18:13:40.456525000']
60268;['000000000000005e', '18:13:42.402145000']
60090;['0000000000000033', '18:13:40.455710000']
60092;['0000000000000007', '18:13:40.455991000']
60098;['000000000000002d', '18:13:40.456790000']
60512;['00000000000000d3', '18:13:47.674603000']
60308;['000000000000005a', '18:13:42.409172000']
60540;['000000000000010d', '18:13:47.682610000']
60546;['0000000000000115', '18:13:47.684019000']
60544;['0000000000000103', '18:13:47.683736000']
60300;['000000000000004a', '18:13:42.407824000']
60302;['0000000000000064', '18:13:42.408187000']
60304;['0000000000000077', '18:13:42.408545000']
60306;['0000000000000085', '18:13:42.408913000']
60380;['00000000000000c7', '18:13:44.782658000']
60172;['000000000000002a', '18:13:40.467982000']
60078;['0000000000000030', '18:13:40.454067000']
60170;['000000000000003f', '18:13:40.467709000']
60384;['00000000000000a3', '18:13:44.783204000']
60176;['0000000000000043', '18:13:40.468514000']
60386;['00000000000000c6', '18:13:44.784114000']
60174;['0000000000000042', '18:13:40.468251000']
60072;['0000000000000018', '18:13:40.453215000']
60262;['000000000000004e', '18:13:42.400946000']
60070;['0000000000000012', '18:13:40.452943000']
60178;['000000000000002c', '18:13:40.468782000']
60076;['000000000000002e', '18:13:40.453791000']
60266;['0000000000000058', '18:13:42.401780000']
60074;['0000000000000009', '18:13:40.453484000']
60264;['0000000000000081', '18:13:42.401317000']
60464;['00000000000000bc', '18:13:44.804892000']
60260;['000000000000006d', '18:13:42.400580000']
60460;['00000000000000c1', '18:13:44.804159000']
60462;['00000000000000ab', '18:13:44.804424000']
60556;['00000000000000f4', '18:13:47.687223000']
60468;['00000000000000bb', '18:13:44.806716000']
60524;['000000000000010e', '18:13:47.677531000']
60558;['000000000000010b', '18:13:47.687492000']
60274;['0000000000000056', '18:13:42.403251000']
60276;['0000000000000086', '18:13:42.403511000']
60270;['0000000000000048', '18:13:42.402407000']
60272;['0000000000000047', '18:13:42.402991000']
60578;['0000000000000104', '18:13:47.693754000']
60576;['00000000000000e8', '18:13:47.693069000']
60416;['000000000000009e', '18:13:44.792789000']
60574;['00000000000000f3', '18:13:47.692277000']
60278;['0000000000000088', '18:13:42.403790000']
60572;['00000000000000f2', '18:13:47.691977000']
60570;['00000000000000e2', '18:13:47.691453000']
60466;['000000000000009f', '18:13:44.806172000']
60168;['0000000000000014', '18:13:40.467396000']
60378;['00000000000000a0', '18:13:44.782389000']
60164;['000000000000001d', '18:13:40.466843000']
60374;['00000000000000ad', '18:13:44.781006000']
60166;['0000000000000021', '18:13:40.467128000']
60376;['0000000000000091', '18:13:44.782119000']
60160;['0000000000000044', '18:13:40.466261000']
60370;['00000000000000a8', '18:13:44.780321000']
60162;['0000000000000031', '18:13:40.466558000']
60372;['0000000000000096', '18:13:44.780738000']
60476;['0000000000000105', '18:13:47.662114000']
60410;['00000000000000ca', '18:13:44.790832000']
60474;['00000000000000ee', '18:13:47.661099000']
60472;['00000000000000de', '18:13:47.660817000']
60470;['00000000000000fb', '18:13:47.659860000']
60396;['00000000000000af', '18:13:44.787873000']
60442;['00000000000000a1', '18:13:44.799963000']
60412;['000000000000009c', '18:13:44.791465000']
60478;['00000000000000e9', '18:13:47.662384000']
60568;['00000000000000e5', '18:13:47.690984000']
60584;['00000000000000d7', '18:13:47.694990000']
60414;['00000000000000a2', '18:13:44.792521000']
