tcpport;dpid
41900;['000000000000005d', '19:28:52.240917000']
41906;['000000000000004b', '19:28:52.243706000']
41904;['000000000000004f', '19:28:52.241999000']
41982;['000000000000007b', '19:28:56.020192000']
42268;['000000000000003e', '19:29:21.516683000']
41980;['000000000000008c', '19:28:56.017969000']
41986;['000000000000007d', '19:28:56.023836000']
41984;['000000000000008a', '19:28:56.022368000']
42222;['000000000000006e', '19:29:21.511994000']
41988;['0000000000000090', '19:28:56.027093000']
42226;['0000000000000042', '19:29:21.512549000']
42224;['00000000000000b6', '19:29:21.512302000']
42156;['00000000000000cd', '19:29:05.312302000']
42258;['00000000000000c8', '19:29:21.515698000']
41914;['0000000000000055', '19:28:52.247812000']
41748;['0000000000000008', '19:28:48.670799000']
41916;['0000000000000050', '19:28:52.249966000']
41910;['000000000000004a', '19:28:52.244785000']
41912;['0000000000000054', '19:28:52.245250000']
42120;['00000000000000c8', '19:29:05.234368000']
41740;['0000000000000001', '19:28:48.668578000']
41742;['0000000000000003', '19:28:48.669212000']
41918;['000000000000005b', '19:28:52.250438000']
41822;['0000000000000024', '19:28:49.677791000']
41746;['0000000000000009', '19:28:48.670161000']
42032;['0000000000000092', '19:28:58.512090000']
42030;['0000000000000097', '19:28:58.511457000']
42036;['0000000000000094', '19:28:58.516702000']
41858;['0000000000000048', '19:28:50.827960000']
42034;['000000000000009a', '19:28:58.513191000']
41854;['000000000000003f', '19:28:50.825431000']
42038;['0000000000000096', '19:28:58.518278000']
41856;['000000000000003a', '19:28:50.826340000']
42238;['00000000000000a9', '19:29:21.513727000']
41850;['0000000000000033', '19:28:50.821517000']
41852;['0000000000000039', '19:28:50.824943000']
42058;['000000000000009c', '19:28:58.551315000']
41998;['0000000000000085', '19:28:56.041137000']
41994;['0000000000000080', '19:28:56.035058000']
42128;['00000000000000c4', '19:29:05.242554000']
41996;['0000000000000084', '19:28:56.038683000']
41990;['000000000000008e', '19:28:56.028075000']
41992;['000000000000008f', '19:28:56.029362000']
41960;['0000000000000073', '19:28:53.997777000']
41758;['0000000000000005', '19:28:48.673641000']
41962;['0000000000000065', '19:28:54.000501000']
