tcpport;dpid
47676;['0000000000000001', '19:35:08.379057000']
47674;['0000000000000013', '19:35:08.378366000']
47772;['0000000000000042', '19:35:10.673405000']
47770;['000000000000003d', '19:35:10.672851000']
47678;['0000000000000006', '19:35:08.379763000']
47776;['0000000000000041', '19:35:10.678542000']
47774;['0000000000000035', '19:35:10.676495000']
48228;['000000000000008f', '19:35:44.037876000']
48224;['00000000000000d5', '19:35:44.037449000']
48226;['0000000000000065', '19:35:44.037650000']
48220;['0000000000000090', '19:35:44.037023000']
48222;['000000000000008e', '19:35:44.037244000']
48382;['0000000000000025', '19:35:45.641745000']
48380;['0000000000000022', '19:35:45.640956000']
48258;['0000000000000085', '19:35:44.042568000']
48310;['00000000000000cd', '19:35:44.051120000']
48312;['0000000000000081', '19:35:44.051469000']
48314;['0000000000000064', '19:35:44.051712000']
48316;['00000000000000d8', '19:35:44.052053000']
48250;['00000000000000c2', '19:35:44.041212000']
48318;['000000000000008b', '19:35:44.052274000']
48252;['0000000000000084', '19:35:44.041553000']
48254;['00000000000000d2', '19:35:44.041864000']
48256;['00000000000000b5', '19:35:44.042137000']
48030;['00000000000000ae', '19:35:23.359943000']
48032;['00000000000000ac', '19:35:23.363486000']
48034;['00000000000000c0', '19:35:23.364006000']
48036;['00000000000000af', '19:35:23.365548000']
48038;['00000000000000bd', '19:35:23.366108000']
48138;['00000000000000e9', '19:35:41.091434000']
48130;['00000000000000ef', '19:35:40.443955000']
48132;['00000000000000e3', '19:35:40.465295000']
48134;['00000000000000e1', '19:35:40.783623000']
48136;['00000000000000ea', '19:35:40.993604000']
48044;['00000000000000b1', '19:35:23.384127000']
48046;['00000000000000bc', '19:35:23.392620000']
48040;['00000000000000b5', '19:35:23.379235000']
48042;['00000000000000bf', '19:35:23.383590000']
48048;['00000000000000b3', '19:35:23.394934000']
47858;['000000000000004c', '19:35:12.328710000']
47856;['000000000000005b', '19:35:12.326709000']
47854;['0000000000000050', '19:35:12.326211000']
47852;['0000000000000055', '19:35:12.323868000']
47850;['0000000000000054', '19:35:12.321198000']
47682;['000000000000000b', '19:35:08.380989000']
47680;['0000000000000003', '19:35:08.380499000']
47686;['0000000000000008', '19:35:08.382132000']
47684;['0000000000000009', '19:35:08.381484000']
47688;['0000000000000007', '19:35:08.382820000']
47928;['000000000000008e', '19:35:16.418014000']
47922;['000000000000008a', '19:35:16.411059000']
47920;['000000000000007b', '19:35:16.408530000']
47926;['0000000000000090', '19:35:16.416814000']
47924;['000000000000007d', '19:35:16.413034000']
47702;['000000000000000a', '19:35:08.387117000']
47700;['0000000000000017', '19:35:08.386632000']
47706;['0000000000000015', '19:35:08.388093000']
48348;['0000000000000042', '19:35:45.632214000']
47704;['0000000000000016', '19:35:08.387606000']
48346;['0000000000000026', '19:35:45.631093000']
48344;['0000000000000083', '19:35:44.055810000']
47708;['0000000000000002', '19:35:08.388816000']
48342;['000000000000006b', '19:35:44.055581000']
48340;['0000000000000075', '19:35:44.055327000']
48188;['0000000000000061', '19:35:44.032406000']
48260;['0000000000000069', '19:35:44.042784000']
48262;['00000000000000bf', '19:35:44.042982000']
48264;['00000000000000b1', '19:35:44.043177000']
48266;['000000000000007f', '19:35:44.043384000']
48180;['000000000000006d', '19:35:44.030957000']
48268;['0000000000000089', '19:35:44.044746000']
48182;['00000000000000be', '19:35:44.031164000']
48184;['00000000000000d6', '19:35:44.031967000']
48186;['00000000000000d1', '19:35:44.032180000']
48166;['0000000000000070', '19:35:44.029331000']
48008;['00000000000000a0', '19:35:19.321498000']
48164;['0000000000000082', '19:35:44.028992000']
48162;['00000000000000a9', '19:35:44.028623000']
48160;['00000000000000bb', '19:35:44.028417000']
48000;['00000000000000a2', '19:35:19.310733000']
48002;['0000000000000095', '19:35:19.311462000']
