floodlight 12.313534
floodlight 13.099722
floodlight 12.208977
floodlight 8.658782
floodlight 9.211289
floodlight 12.782177
floodlight 1.649034
floodlight 9.953842
floodlight 4.986179
floodlight 7.916242
odl 2.346027
odl 2.326030
odl 1.136666
odl 3.217512
odl 3.131136
odl 0.911432
odl 1.724024
odl 2.404129
odl 1.266443
odl 1.350079
onos 1.182585
onos 0.172395
onos 1.302844
onos 1.675767
onos 0.776039
onos 0.210768
onos 2.325473
onos 0.577964
onos 0.219103
onos 1.109475
ryu 5.680964
ryu 2.843623
ryu 2.137952
ryu 5.165135
ryu 5.160629
ryu 3.962400
ryu 3.719252
ryu 5.650066
ryu 5.135977
ryu 3.536996
