stamptime;link_number;link
18:25:06.936249000;197;0000000000000042-3<-->0000000000000043-00000002
18:25:06.935911000;189;0000000000000040-2<-->000000000000003f-00000003
18:25:06.860846000;139;0000000000000023-2<-->0000000000000022-00000003
18:25:06.815585000;62;0000000000000063-3<-->0000000000000064-00000002
18:25:06.856618000;104;0000000000000035-3<-->0000000000000036-00000002
18:25:06.932903000;155;0000000000000022-2<-->0000000000000021-00000003
18:25:06.859317000;123;0000000000000018-2<-->0000000000000017-00000003
18:25:06.858925000;113;0000000000000026-3<-->0000000000000027-00000002
18:25:06.816596000;93;0000000000000041-3<-->0000000000000042-00000002
18:25:06.816232000;82;000000000000004a-3<-->000000000000004b-00000002
18:25:06.858901000;112;0000000000000026-2<-->0000000000000025-00000003
18:25:06.814198000;26;0000000000000028-2<-->0000000000000027-00000003
18:25:06.814408000;30;000000000000004e-3<-->000000000000004f-00000002
18:25:06.815975000;75;0000000000000037-3<-->0000000000000038-00000002
18:25:06.859438000;127;0000000000000058-2<-->0000000000000057-00000003
18:25:06.935116000;170;0000000000000002-2<-->0000000000000001-00000002
18:25:06.933792000;161;0000000000000021-2<-->0000000000000020-00000003
18:25:06.860888000;140;0000000000000035-2<-->0000000000000034-00000003
18:25:06.813960000;18;0000000000000023-2<-->0000000000000022-00000003
18:25:06.816632000;94;0000000000000044-2<-->0000000000000043-00000003
18:25:06.935874000;188;0000000000000039-2<-->0000000000000038-00000003
18:25:06.814490000;32;0000000000000054-2<-->0000000000000053-00000003
18:25:06.873865000;150;000000000000001a-3<-->000000000000001b-00000002
18:25:06.861142000;147;0000000000000058-3<-->0000000000000059-00000002
18:25:06.858867000;111;000000000000003e-3<-->000000000000003f-00000002
18:25:06.815149000;48;0000000000000007-3<-->0000000000000008-00000002
18:25:06.935282000;175;0000000000000025-2<-->0000000000000024-00000003
18:25:06.775268000;8;0000000000000018-3<-->0000000000000019-00000002
18:25:06.814280000;27;000000000000003a-2<-->0000000000000039-00000003
18:25:06.856576000;103;000000000000003e-2<-->000000000000003d-00000003
18:25:06.814696000;37;000000000000002e-3<-->000000000000002f-00000002
18:25:06.814970000;43;000000000000005e-2<-->000000000000005d-00000003
18:25:06.814070000;22;0000000000000026-2<-->0000000000000025-00000003
18:25:06.775294000;9;0000000000000018-2<-->0000000000000017-00000003
18:25:06.815662000;65;0000000000000051-3<-->0000000000000052-00000002
18:25:06.775415000;11;0000000000000034-2<-->0000000000000033-00000003
18:25:06.814039000;21;000000000000003e-2<-->000000000000003d-00000003
18:25:06.859252000;121;0000000000000054-2<-->0000000000000053-00000003
18:25:06.861002000;143;000000000000004e-3<-->000000000000004f-00000002
18:25:06.861068000;145;0000000000000009-3<-->000000000000000a-00000002
18:25:06.815080000;46;0000000000000003-2<-->0000000000000002-00000003
18:25:06.774465000;1;000000000000001a-2<-->0000000000000019-00000003
18:25:06.935151000;171;0000000000000046-2<-->0000000000000045-00000003
18:25:06.814906000;41;0000000000000058-2<-->0000000000000057-00000003
18:25:06.818591000;101;0000000000000045-2<-->0000000000000044-00000003
18:25:06.935402000;179;000000000000000a-3<-->000000000000000b-00000002
18:25:06.814826000;39;0000000000000030-3<-->0000000000000031-00000002
18:25:06.816365000;86;0000000000000040-3<-->0000000000000041-00000002
18:25:06.774765000;2;000000000000005f-2<-->000000000000005e-00000003
18:25:06.814131000;24;0000000000000029-3<-->000000000000002a-00000002
18:25:06.775126000;6;0000000000000005-2<-->0000000000000004-00000003
18:25:06.814575000;35;0000000000000009-2<-->0000000000000008-00000003
18:25:06.935564000;183;0000000000000059-3<-->000000000000005a-00000002
18:25:06.816545000;92;000000000000005a-3<-->000000000000005b-00000002
18:25:06.815336000;54;0000000000000060-3<-->0000000000000061-00000002
18:25:06.936048000;193;000000000000005a-3<-->000000000000005b-00000002
18:25:06.816512000;91;0000000000000013-3<-->0000000000000014-00000002
18:25:06.815882000;72;000000000000001f-2<-->000000000000001e-00000003
18:25:06.859215000;120;0000000000000012-3<-->0000000000000013-00000002
