stamptime;link_number;link
18:13:26.269736000;1;000000000000000d-2<-->00:00:00:00:00:0c-3
18:13:28.265218000;24;0000000000000059-3<-->00:00:00:00:00:5a-2
18:13:30.493752000;153;0000000000000057-3<-->00:00:00:00:00:58-2
18:13:29.782801000;60;0000000000000055-3<-->00:00:00:00:00:56-2
18:13:28.514697000;30;000000000000005e-3<-->00:00:00:00:00:5f-2
18:13:30.498767000;181;0000000000000035-3<-->00:00:00:00:00:36-2
18:13:30.442414000;136;0000000000000030-3<-->00:00:00:00:00:31-2
18:13:30.499136000;190;0000000000000009-2<-->00:00:00:00:00:08-3
18:13:27.645617000;13;000000000000000a-2<-->00:00:00:00:00:09-3
18:13:30.499222000;191;0000000000000058-2<-->00:00:00:00:00:57-3
18:13:30.492377000;146;0000000000000061-2<-->00:00:00:00:00:60-3
18:13:30.438593000;128;0000000000000013-2<-->00:00:00:00:00:12-3
18:13:28.058479000;20;000000000000000e-3<-->00:00:00:00:00:0f-2
18:13:30.120788000;67;0000000000000022-3<-->00:00:00:00:00:23-2
18:13:30.430316000;110;0000000000000039-2<-->00:00:00:00:00:38-3
18:13:27.122345000;6;000000000000000d-3<-->00:00:00:00:00:0e-2
18:13:30.421105000;75;000000000000000f-2<-->00:00:00:00:00:0e-3
18:13:30.000460000;64;0000000000000021-3<-->00:00:00:00:00:22-2
18:13:30.492189000;145;0000000000000060-2<-->00:00:00:00:00:5f-3
18:13:27.580561000;10;0000000000000011-3<-->00:00:00:00:00:12-2
18:13:27.758125000;14;0000000000000009-2<-->00:00:00:00:00:08-3
18:13:29.782712000;59;0000000000000057-2<-->00:00:00:00:00:56-3
18:13:30.438014000;126;0000000000000010-3<-->00:00:00:00:00:11-2
18:13:30.493356000;150;0000000000000008-3<-->00:00:00:00:00:09-2
18:13:30.493984000;156;0000000000000055-3<-->00:00:00:00:00:56-2
18:13:30.493935000;155;0000000000000055-2<-->00:00:00:00:00:54-3
18:13:30.495672000;163;000000000000005a-2<-->00:00:00:00:00:59-3
18:13:30.438286000;127;0000000000000059-3<-->00:00:00:00:00:5a-2
