2018-10-06 18:25:07,360;TSHARK-ryu;1;000000000000001a-2<-->0000000000000019-00000003
2018-10-06 18:25:07,360;TSHARK-ryu;2;000000000000005f-2<-->000000000000005e-00000003
2018-10-06 18:25:07,361;TSHARK-ryu;3;0000000000000035-2<-->0000000000000034-00000003
2018-10-06 18:25:07,361;TSHARK-ryu;4;0000000000000035-3<-->0000000000000036-00000002
2018-10-06 18:25:07,361;TSHARK-ryu;5;0000000000000029-2<-->0000000000000028-00000003
2018-10-06 18:25:07,361;TSHARK-ryu;6;0000000000000005-2<-->0000000000000004-00000003
2018-10-06 18:25:07,361;TSHARK-ryu;7;000000000000003a-3<-->000000000000003b-00000002
2018-10-06 18:25:07,362;TSHARK-ryu;8;0000000000000018-3<-->0000000000000019-00000002
2018-10-06 18:25:07,362;TSHARK-ryu;9;0000000000000018-2<-->0000000000000017-00000003
2018-10-06 18:25:07,362;TSHARK-ryu;10;0000000000000048-2<-->0000000000000047-00000003
2018-10-06 18:25:07,362;TSHARK-ryu;11;0000000000000034-2<-->0000000000000033-00000003
2018-10-06 18:25:07,362;TSHARK-ryu;12;0000000000000003-3<-->0000000000000004-00000002
2018-10-06 18:25:07,362;TSHARK-ryu;13;0000000000000004-2<-->0000000000000003-00000003
2018-10-06 18:25:07,378;TSHARK-ryu;14;000000000000001a-3<-->000000000000001b-00000002
2018-10-06 18:25:07,378;TSHARK-ryu;15;000000000000005f-3<-->0000000000000060-00000002
2018-10-06 18:25:07,378;TSHARK-ryu;16;000000000000001c-2<-->000000000000001b-00000003
2018-10-06 18:25:07,379;TSHARK-ryu;17;000000000000001c-3<-->000000000000001d-00000002
2018-10-06 18:25:07,379;TSHARK-ryu;18;0000000000000023-2<-->0000000000000022-00000003
2018-10-06 18:25:07,379;TSHARK-ryu;19;0000000000000023-3<-->0000000000000024-00000002
2018-10-06 18:25:07,379;TSHARK-ryu;20;000000000000003e-3<-->000000000000003f-00000002
2018-10-06 18:25:07,379;TSHARK-ryu;21;000000000000003e-2<-->000000000000003d-00000003
2018-10-06 18:25:07,380;TSHARK-ryu;22;0000000000000026-2<-->0000000000000025-00000003
2018-10-06 18:25:07,380;TSHARK-ryu;23;0000000000000026-3<-->0000000000000027-00000002
2018-10-06 18:25:07,380;TSHARK-ryu;24;0000000000000029-3<-->000000000000002a-00000002
2018-10-06 18:25:07,381;TSHARK-ryu;25;0000000000000005-3<-->0000000000000006-00000002
2018-10-06 18:25:07,381;TSHARK-ryu;26;0000000000000028-2<-->0000000000000027-00000003
2018-10-06 18:25:07,381;TSHARK-ryu;27;000000000000003a-2<-->0000000000000039-00000003
2018-10-06 18:25:07,381;TSHARK-ryu;28;0000000000000012-2<-->0000000000000011-00000003
2018-10-06 18:25:07,381;TSHARK-ryu;29;0000000000000012-3<-->0000000000000013-00000002
2018-10-06 18:25:07,381;TSHARK-ryu;30;000000000000004e-3<-->000000000000004f-00000002
2018-10-06 18:25:07,382;TSHARK-ryu;31;000000000000004e-2<-->000000000000004d-00000003
2018-10-06 18:25:07,382;TSHARK-ryu;32;0000000000000054-2<-->0000000000000053-00000003
2018-10-06 18:25:07,382;TSHARK-ryu;33;0000000000000054-3<-->0000000000000055-00000002
