2018-09-26 01:32:01,065;TSHARK;1;000000000000000a-3<-->00:00:00:00:00:0b-2
2018-09-26 01:32:01,092;TSHARK;2;0000000000000020-3<-->00:00:00:00:00:21-2
2018-09-26 01:32:01,128;TSHARK;3;0000000000000021-3<-->00:00:00:00:00:22-2
2018-09-26 01:32:01,129;TSHARK;4;0000000000000023-2<-->00:00:00:00:00:22-3
2018-09-26 01:32:01,153;TSHARK;5;000000000000000b-3<-->00:00:00:00:00:0c-2
2018-09-26 01:32:01,159;TSHARK;6;000000000000000c-3<-->00:00:00:00:00:0d-2
2018-09-26 01:32:01,577;TSHARK;7;000000000000000d-3<-->00:00:00:00:00:0e-2
2018-09-26 01:32:01,602;TSHARK;8;0000000000000023-3<-->00:00:00:00:00:24-2
2018-09-26 01:32:01,639;TSHARK;9;000000000000000e-3<-->00:00:00:00:00:0f-2
2018-09-26 01:32:02,071;TSHARK;10;0000000000000024-3<-->00:00:00:00:00:25-2
2018-09-26 01:32:02,075;TSHARK;11;000000000000000f-3<-->00:00:00:00:00:10-2
2018-09-26 01:32:02,077;TSHARK;12;0000000000000025-3<-->00:00:00:00:00:26-2
2018-09-26 01:32:02,097;TSHARK;13;0000000000000010-3<-->00:00:00:00:00:11-2
2018-09-26 01:32:02,117;TSHARK;14;0000000000000026-3<-->00:00:00:00:00:27-2
2018-09-26 01:32:02,589;TSHARK;15;0000000000000020-2<-->00:00:00:00:00:1f-3
2018-09-26 01:32:02,605;TSHARK;16;000000000000001f-2<-->00:00:00:00:00:1e-3
2018-09-26 01:32:02,639;TSHARK;17;0000000000000002-2<-->00:00:00:00:00:01-2
2018-09-26 01:32:03,086;TSHARK;18;000000000000001e-2<-->00:00:00:00:00:1d-3
2018-09-26 01:32:03,103;TSHARK;19;0000000000000006-2<-->00:00:00:00:00:05-3
2018-09-26 01:32:03,120;TSHARK;20;0000000000000005-2<-->00:00:00:00:00:04-3
2018-09-26 01:32:03,125;TSHARK;21;0000000000000004-2<-->00:00:00:00:00:03-3
2018-09-26 01:32:03,145;TSHARK;22;0000000000000002-3<-->00:00:00:00:00:03-2
2018-09-26 01:32:03,586;TSHARK;23;000000000000000a-2<-->00:00:00:00:00:09-3
2018-09-26 01:32:03,587;TSHARK;24;0000000000000008-3<-->00:00:00:00:00:09-2
2018-09-26 01:32:03,605;TSHARK;25;0000000000000008-2<-->00:00:00:00:00:07-3
2018-09-26 01:32:03,608;TSHARK;26;0000000000000006-3<-->00:00:00:00:00:07-2
2018-09-26 01:32:04,222;TSHARK;27;000000000000002b-3<-->00:00:00:00:00:2c-2
2018-09-26 01:32:04,286;TSHARK;28;0000000000000021-3<-->00:00:00:00:00:22-2
2018-09-26 01:32:04,288;TSHARK;29;0000000000000023-2<-->00:00:00:00:00:22-3
2018-09-26 01:32:04,290;TSHARK;30;0000000000000010-2<-->00:00:00:00:00:0f-3
2018-09-26 01:32:04,291;TSHARK;31;000000000000000e-3<-->00:00:00:00:00:0f-2
2018-09-26 01:32:04,294;TSHARK;32;0000000000000004-2<-->00:00:00:00:00:03-3
2018-09-26 01:32:04,297;TSHARK;33;0000000000000002-3<-->00:00:00:00:00:03-2
