2018-10-06 18:16:18,087;TSHARK-onos;55;0000000000000014-3<-->00:00:00:00:00:15-32
2018-10-06 18:16:18,087;TSHARK-onos;56;0000000000000014-3<-->00:00:00:00:00:15-32
2018-10-06 18:16:18,091;TSHARK-onos;57;000000000000003f-2<-->00:00:00:00:00:3e-33
2018-10-06 18:16:18,092;TSHARK-onos;58;000000000000003f-2<-->00:00:00:00:00:3e-33
2018-10-06 18:16:18,099;TSHARK-onos;59;000000000000002c-3<-->00:00:00:00:00:2d-32
2018-10-06 18:16:18,100;TSHARK-onos;60;000000000000003d-3<-->00:00:00:00:00:3e-32
2018-10-06 18:16:18,104;TSHARK-onos;61;000000000000003d-3<-->00:00:00:00:00:3e-32
2018-10-06 18:16:18,138;TSHARK-onos;62;000000000000005f-3<-->00:00:00:00:00:60-32
2018-10-06 18:16:18,138;TSHARK-onos;63;0000000000000026-2<-->00:00:00:00:00:25-33
2018-10-06 18:16:18,139;TSHARK-onos;64;000000000000002e-2<-->00:00:00:00:00:2d-33
2018-10-06 18:16:18,142;TSHARK-onos;65;0000000000000047-2<-->00:00:00:00:00:46-33
2018-10-06 18:16:18,143;TSHARK-onos;66;0000000000000011-2<-->00:00:00:00:00:10-33
2018-10-06 18:16:18,147;TSHARK-onos;67;0000000000000055-3<-->00:00:00:00:00:56-32
2018-10-06 18:16:18,147;TSHARK-onos;68;0000000000000055-3<-->00:00:00:00:00:56-32
2018-10-06 18:16:18,151;TSHARK-onos;69;0000000000000052-3<-->00:00:00:00:00:53-32
2018-10-06 18:16:18,154;TSHARK-onos;70;0000000000000062-3<-->00:00:00:00:00:63-32
2018-10-06 18:16:18,191;TSHARK-onos;71;000000000000005f-3<-->00:00:00:00:00:60-32
2018-10-06 18:16:18,199;TSHARK-onos;72;0000000000000035-2<-->00:00:00:00:00:34-33
2018-10-06 18:16:18,199;TSHARK-onos;73;0000000000000035-2<-->00:00:00:00:00:34-33
2018-10-06 18:16:18,200;TSHARK-onos;74;0000000000000012-2<-->00:00:00:00:00:11-33
2018-10-06 18:16:18,200;TSHARK-onos;75;0000000000000054-2<-->00:00:00:00:00:53-33
2018-10-06 18:16:18,201;TSHARK-onos;76;0000000000000009-3<-->00:00:00:00:00:0a-32
2018-10-06 18:16:18,202;TSHARK-onos;77;0000000000000011-2<-->00:00:00:00:00:10-33
2018-10-06 18:16:18,202;TSHARK-onos;78;0000000000000010-3<-->00:00:00:00:00:11-32
2018-10-06 18:16:18,202;TSHARK-onos;79;0000000000000010-3<-->00:00:00:00:00:11-32
2018-10-06 18:16:18,203;TSHARK-onos;80;0000000000000046-3<-->00:00:00:00:00:47-32
2018-10-06 18:16:18,210;TSHARK-onos;81;000000000000000c-3<-->00:00:00:00:00:0d-32
2018-10-06 18:16:18,210;TSHARK-onos;82;000000000000000c-3<-->00:00:00:00:00:0d-32
2018-10-06 18:16:18,214;TSHARK-onos;83;0000000000000050-3<-->00:00:00:00:00:51-32
