stamptime;link_number;link
18:33:52.286627000;147;0000000000000047-2<-->00:00:00:00:00:46-0003
18:33:52.292838000;191;0000000000000010-3<-->00:00:00:00:00:11-0002
18:33:51.602042000;69;0000000000000056-2<-->00:00:00:00:00:55-0003
18:33:52.230863000;128;0000000000000039-2<-->00:00:00:00:00:38-0003
18:33:51.602296000;72;0000000000000051-2<-->00:00:00:00:00:50-0003
18:33:51.041300000;9;000000000000005d-3<-->00:00:00:00:00:5e-0002
18:33:51.307055000;21;000000000000005a-2<-->00:00:00:00:00:59-0003
18:33:52.227405000;111;0000000000000009-2<-->00:00:00:00:00:08-0003
18:33:51.562618000;50;0000000000000051-3<-->00:00:00:00:00:52-0002
18:33:52.287134000;154;0000000000000063-2<-->00:00:00:00:00:62-0003
18:33:51.602382000;73;0000000000000015-3<-->00:00:00:00:00:16-0002
18:33:51.561633000;49;000000000000005e-3<-->00:00:00:00:00:5f-0002
18:33:52.171687000;100;000000000000004c-2<-->00:00:00:00:00:4b-0003
18:33:52.290980000;179;0000000000000010-2<-->00:00:00:00:00:0f-0003
18:33:52.286087000;143;000000000000002e-2<-->00:00:00:00:00:2d-0003
18:33:51.563139000;53;000000000000000d-3<-->00:00:00:00:00:0e-0002
18:34:01.534209000;195;0000000000000002-3<-->00:00:00:00:00:03-0002
18:33:51.562788000;52;000000000000000a-3<-->00:00:00:00:00:0b-0002
18:33:51.513128000;44;0000000000000016-2<-->00:00:00:00:00:15-0003
18:33:52.161281000;80;000000000000003b-2<-->00:00:00:00:00:3a-0003
18:33:52.171622000;99;0000000000000042-2<-->00:00:00:00:00:41-0003
18:33:52.285177000;137;000000000000005f-3<-->00:00:00:00:00:60-0002
18:33:51.600618000;61;000000000000003e-2<-->00:00:00:00:00:3d-0003
18:33:52.231482000;131;0000000000000013-3<-->00:00:00:00:00:14-0002
18:33:52.288080000;161;000000000000004b-2<-->00:00:00:00:00:4a-0003
18:33:52.231935000;133;000000000000002a-3<-->00:00:00:00:00:2b-0002
18:33:51.040358000;7;0000000000000033-2<-->00:00:00:00:00:32-0003
18:33:52.288257000;163;0000000000000040-2<-->00:00:00:00:00:3f-0003
18:33:51.343348000;30;0000000000000059-3<-->00:00:00:00:00:5a-0002
18:33:52.227700000;113;000000000000003b-3<-->00:00:00:00:00:3c-0002
18:33:52.284751000;135;000000000000001a-3<-->00:00:00:00:00:1b-0002
18:33:51.562680000;51;0000000000000025-2<-->00:00:00:00:00:24-0003
18:33:51.343559000;32;0000000000000013-2<-->00:00:00:00:00:12-0003
18:33:52.285386000;139;000000000000003e-3<-->00:00:00:00:00:3f-0002
18:33:52.288870000;169;0000000000000021-2<-->00:00:00:00:00:20-0003
18:33:51.342837000;28;0000000000000029-3<-->00:00:00:00:00:2a-0002
18:33:52.285104000;136;000000000000001c-2<-->00:00:00:00:00:1b-0003
18:33:50.984324000;1;000000000000005e-2<-->00:00:00:00:00:5d-0003
18:33:52.288773000;167;0000000000000031-2<-->00:00:00:00:00:30-0003
18:33:52.286854000;150;0000000000000053-3<-->00:00:00:00:00:54-0002
18:33:52.291585000;184;000000000000002b-3<-->00:00:00:00:00:2c-0002
18:33:52.285550000;141;0000000000000035-3<-->00:00:00:00:00:36-0002
18:33:51.039575000;5;0000000000000012-2<-->00:00:00:00:00:11-0003
18:34:01.533685000;193;0000000000000004-3<-->00:00:00:00:00:05-0002
18:33:51.603510000;76;000000000000004c-3<-->00:00:00:00:00:4d-0002
18:33:52.289303000;172;0000000000000049-2<-->00:00:00:00:00:48-0003
18:33:51.512914000;41;0000000000000055-3<-->00:00:00:00:00:56-0002
18:33:52.168413000;90;0000000000000064-2<-->00:00:00:00:00:63-0003
18:33:52.287707000;159;0000000000000022-3<-->00:00:00:00:00:23-0002
18:33:52.291541000;183;000000000000002b-2<-->00:00:00:00:00:2a-0003
18:33:52.163488000;83;000000000000002d-3<-->00:00:00:00:00:2e-0002
18:33:52.225001000;107;000000000000001c-3<-->00:00:00:00:00:1d-0002
18:33:51.462963000;37;0000000000000005-2<-->00:00:00:00:00:04-0003
18:33:51.307316000;22;000000000000002a-2<-->00:00:00:00:00:29-0003
18:33:52.172276000;103;0000000000000027-2<-->00:00:00:00:00:26-0003
18:33:51.565701000;57;000000000000003c-2<-->00:00:00:00:00:3b-0003
18:33:51.378915000;36;0000000000000006-2<-->00:00:00:00:00:05-0003
18:33:51.094207000;15;0000000000000032-3<-->00:00:00:00:00:33-0002
18:33:51.565754000;58;0000000000000043-3<-->00:00:00:00:00:44-0002
18:33:52.168954000;91;000000000000001e-3<-->00:00:00:00:00:1f-0002
18:33:51.093445000;12;0000000000000004-2<-->00:00:00:00:00:03-0003
