datetime;test;log;switches;macs;avg_flows
2018-09-12 20:42:11,852;CBENCHCSV;5;100;272.01
2018-09-12 20:42:24,229;CBENCHCSV;5;100;299.87
2018-09-12 20:42:36,656;CBENCHCSV;5;100;204.79
2018-09-12 20:42:49,589;CBENCHCSV;5;100;156.90
2018-09-12 20:43:02,188;CBENCHCSV;5;100;192.16
2018-09-12 20:43:14,626;CBENCHCSV;5;100;219.78
2018-09-12 20:43:58,886;CBENCHCSV;5;100;110.45
2018-09-12 20:44:11,705;CBENCHCSV;5;100;91.09
2018-09-12 20:44:24,661;CBENCHCSV;5;100;81.22
2018-09-12 20:44:37,340;CBENCHCSV;5;100;119.77
2018-09-12 20:44:49,883;CBENCHCSV;5;100;142.81
2018-09-12 20:45:02,298;CBENCHCSV;5;100;140.04
2018-09-12 20:45:14,793;CBENCHCSV;5;100;149.29
2018-09-12 20:45:27,349;CBENCHCSV;5;100;155.58
2018-09-12 20:45:39,830;CBENCHCSV;5;100;149.78
2018-09-12 20:45:52,338;CBENCHCSV;5;100;159.17
2018-09-12 20:46:04,855;CBENCHCSV;5;100;160.61
2018-09-12 20:46:17,385;CBENCHCSV;5;100;172.08
2018-09-12 20:46:30,402;CBENCHCSV;5;100;129.72
2018-09-12 20:46:43,049;CBENCHCSV;5;100;138.33
2018-09-12 20:46:55,550;CBENCHCSV;5;100;147.15
2018-09-12 20:47:07,972;CBENCHCSV;5;100;160.16
2018-09-12 20:47:20,576;CBENCHCSV;5;100;136.28
2018-09-12 20:47:33,103;CBENCHCSV;5;100;145.41
2018-09-12 20:47:45,814;CBENCHCSV;5;100;142.67
2018-09-12 20:47:58,301;CBENCHCSV;5;100;141.31
