2018-11-21 02:53:38,558;TSHARK-onos;02:53:37.831076000;1;0000000000000014-3<-->00:00:00:00:00:15-32
2018-11-21 02:53:39,218;TSHARK-onos;02:53:38.879852000;2;0000000000000011-2<-->00:00:00:00:00:10-33
2018-11-21 02:53:39,283;TSHARK-onos;02:53:38.890223000;3;000000000000002c-3<-->00:00:00:00:00:2d-32
2018-11-21 02:53:39,317;TSHARK-onos;02:53:38.961248000;4;0000000000000021-2<-->00:00:00:00:00:20-33
2018-11-21 02:53:39,936;TSHARK-onos;02:53:39.399437000;5;0000000000000021-3<-->00:00:00:00:00:22-32
2018-11-21 02:53:39,937;TSHARK-onos;02:53:39.399524000;6;0000000000000031-2<-->00:00:00:00:00:30-33
2018-11-21 02:53:39,987;TSHARK-onos;02:53:39.454869000;7;0000000000000004-3<-->00:00:00:00:00:05-32
2018-11-21 02:53:39,989;TSHARK-onos;02:53:39.456822000;8;0000000000000010-2<-->00:00:00:00:00:0f-33
2018-11-21 02:53:39,991;TSHARK-onos;02:53:39.458219000;9;000000000000000e-3<-->00:00:00:00:00:0f-32
2018-11-21 02:53:39,992;TSHARK-onos;02:53:39.459133000;10;0000000000000022-3<-->00:00:00:00:00:23-32
2018-11-21 02:53:40,008;TSHARK-onos;02:53:39.462687000;11;0000000000000027-3<-->00:00:00:00:00:28-32
2018-11-21 02:53:40,613;TSHARK-onos;02:53:40.100852000;12;0000000000000005-2<-->00:00:00:00:00:04-33
2018-11-21 02:53:40,614;TSHARK-onos;02:53:40.102550000;13;0000000000000028-3<-->00:00:00:00:00:29-32
2018-11-21 02:53:40,623;TSHARK-onos;02:53:40.106580000;14;0000000000000009-3<-->00:00:00:00:00:0a-32
2018-11-21 02:53:40,630;TSHARK-onos;02:53:40.106801000;15;0000000000000009-2<-->00:00:00:00:00:08-33
2018-11-21 02:53:40,642;TSHARK-onos;02:53:40.110488000;16;0000000000000003-3<-->00:00:00:00:00:04-32
2018-11-21 02:53:40,643;TSHARK-onos;02:53:40.111205000;17;0000000000000007-3<-->00:00:00:00:00:08-32
2018-11-21 02:53:40,644;TSHARK-onos;02:53:40.111536000;18;0000000000000004-2<-->00:00:00:00:00:03-33
2018-11-21 02:53:40,644;TSHARK-onos;02:53:40.111642000;19;0000000000000017-3<-->00:00:00:00:00:18-32
2018-11-21 02:53:40,649;TSHARK-onos;02:53:40.113262000;20;000000000000002d-3<-->00:00:00:00:00:2e-32
2018-11-21 02:53:40,649;TSHARK-onos;02:53:40.113436000;21;0000000000000011-3<-->00:00:00:00:00:12-32
2018-11-21 02:53:40,650;TSHARK-onos;02:53:40.113552000;22;0000000000000002-3<-->00:00:00:00:00:03-32
2018-11-21 02:53:40,653;TSHARK-onos;02:53:40.114197000;23;0000000000000025-3<-->00:00:00:00:00:26-32
2018-11-21 02:53:40,653;TSHARK-onos;02:53:40.114332000;24;000000000000000a-3<-->00:00:00:00:00:0b-32
2018-11-21 02:53:40,653;TSHARK-onos;02:53:40.114411000;25;000000000000000a-2<-->00:00:00:00:00:09-33
2018-11-21 02:53:40,660;TSHARK-onos;02:53:40.116784000;26;0000000000000008-3<-->00:00:00:00:00:09-32
2018-11-21 02:53:40,661;TSHARK-onos;02:53:40.118468000;27;000000000000000f-2<-->00:00:00:00:00:0e-33
2018-11-21 02:53:40,719;TSHARK-onos;02:53:40.143928000;28;0000000000000014-2<-->00:00:00:00:00:13-33
2018-11-21 02:53:40,723;TSHARK-onos;02:53:40.144190000;29;0000000000000031-3<-->00:00:00:00:00:32-32
2018-11-21 02:53:40,724;TSHARK-onos;02:53:40.144439000;30;000000000000001d-2<-->00:00:00:00:00:1c-33
2018-11-21 02:53:40,724;TSHARK-onos;02:53:40.144511000;31;000000000000001d-3<-->00:00:00:00:00:1e-32
2018-11-21 02:53:40,730;TSHARK-onos;02:53:40.145410000;32;000000000000002a-2<-->00:00:00:00:00:29-33
2018-11-21 02:53:40,730;TSHARK-onos;02:53:40.145530000;33;000000000000002a-3<-->00:00:00:00:00:2b-32
2018-11-21 02:53:40,743;TSHARK-onos;02:53:40.149276000;34;000000000000002c-2<-->00:00:00:00:00:2b-33
2018-11-21 02:53:40,753;TSHARK-onos;02:53:40.153465000;35;0000000000000027-2<-->00:00:00:00:00:26-33
2018-11-21 02:53:40,756;TSHARK-onos;02:53:40.154481000;36;0000000000000020-2<-->00:00:00:00:00:1f-33
2018-11-21 02:53:41,088;TSHARK-onos;02:53:40.421271000;37;000000000000001a-2<-->00:00:00:00:00:19-33
2018-11-21 02:53:41,092;TSHARK-onos;02:53:40.421357000;38;000000000000001a-3<-->00:00:00:00:00:1b-32
2018-11-21 02:53:41,093;TSHARK-onos;02:53:40.422663000;39;000000000000001c-2<-->00:00:00:00:00:1b-33
2018-11-21 02:53:41,100;TSHARK-onos;02:53:40.424137000;40;0000000000000023-3<-->00:00:00:00:00:24-32
2018-11-21 02:53:41,104;TSHARK-onos;02:53:40.425117000;41;000000000000003e-3<-->00:00:00:00:00:3f-32
2018-11-21 02:53:41,104;TSHARK-onos;02:53:40.425218000;42;000000000000003e-2<-->00:00:00:00:00:3d-33
2018-11-21 02:53:41,110;TSHARK-onos;02:53:40.428278000;43;0000000000000005-3<-->00:00:00:00:00:06-32
2018-11-21 02:53:41,116;TSHARK-onos;02:53:40.430331000;44;0000000000000012-3<-->00:00:00:00:00:13-32
2018-11-21 02:53:41,119;TSHARK-onos;02:53:40.432251000;45;0000000000000018-3<-->00:00:00:00:00:19-32
2018-11-21 02:53:41,120;TSHARK-onos;02:53:40.432321000;46;0000000000000018-2<-->00:00:00:00:00:17-33
2018-11-21 02:53:41,124;TSHARK-onos;02:53:40.433710000;47;000000000000002e-3<-->00:00:00:00:00:2f-32
2018-11-21 02:53:41,128;TSHARK-onos;02:53:40.434750000;48;0000000000000030-2<-->00:00:00:00:00:2f-33
2018-11-21 02:53:41,129;TSHARK-onos;02:53:40.436194000;49;0000000000000019-3<-->00:00:00:00:00:1a-32
2018-11-21 02:53:41,139;TSHARK-onos;02:53:40.440685000;50;0000000000000007-2<-->00:00:00:00:00:06-33
2018-11-21 02:53:41,143;TSHARK-onos;02:53:40.442489000;51;0000000000000017-2<-->00:00:00:00:00:16-33
2018-11-21 02:53:41,149;TSHARK-onos;02:53:40.446278000;52;0000000000000002-2<-->00:00:00:00:00:01-32
2018-11-21 02:53:41,152;TSHARK-onos;02:53:40.448277000;53;0000000000000025-2<-->00:00:00:00:00:24-33
2018-11-21 02:53:41,152;TSHARK-onos;02:53:40.448705000;54;0000000000000015-3<-->00:00:00:00:00:16-32
2018-11-21 02:53:41,157;TSHARK-onos;02:53:40.450093000;55;000000000000000e-2<-->00:00:00:00:00:0d-33
2018-11-21 02:53:41,162;TSHARK-onos;02:53:40.452012000;56;000000000000001f-2<-->00:00:00:00:00:1e-33
2018-11-21 02:53:41,167;TSHARK-onos;02:53:40.454423000;57;000000000000000d-2<-->00:00:00:00:00:0c-33
2018-11-21 02:53:41,178;TSHARK-onos;02:53:40.458175000;58;000000000000001b-2<-->00:00:00:00:00:1a-33
2018-11-21 02:53:41,182;TSHARK-onos;02:53:40.460184000;59;000000000000005d-2<-->00:00:00:00:00:5c-33
2018-11-21 02:53:41,187;TSHARK-onos;02:53:40.465336000;60;000000000000004f-3<-->00:00:00:00:00:50-32
2018-11-21 02:53:41,193;TSHARK-onos;02:53:40.469368000;61;000000000000004b-2<-->00:00:00:00:00:4a-33
2018-11-21 02:53:41,194;TSHARK-onos;02:53:40.469481000;62;000000000000004b-3<-->00:00:00:00:00:4c-32
2018-11-21 02:53:41,198;TSHARK-onos;02:53:40.473265000;63;000000000000004a-2<-->00:00:00:00:00:49-33
2018-11-21 02:53:41,208;TSHARK-onos;02:53:40.479611000;64;0000000000000040-2<-->00:00:00:00:00:3f-33
2018-11-21 02:53:41,231;TSHARK-onos;02:53:40.499836000;65;000000000000005b-3<-->00:00:00:00:00:5c-32
2018-11-21 02:53:41,234;TSHARK-onos;02:53:40.499959000;66;000000000000005b-2<-->00:00:00:00:00:5a-33
2018-11-21 02:53:41,245;TSHARK-onos;02:53:40.510586000;67;0000000000000042-3<-->00:00:00:00:00:43-32
2018-11-21 02:53:41,246;TSHARK-onos;02:53:40.510703000;68;0000000000000042-2<-->00:00:00:00:00:41-33
2018-11-21 02:53:41,248;TSHARK-onos;02:53:40.512477000;69;000000000000004c-3<-->00:00:00:00:00:4d-32
2018-11-21 02:53:41,254;TSHARK-onos;02:53:40.514474000;70;0000000000000043-3<-->00:00:00:00:00:44-32
2018-11-21 02:53:41,260;TSHARK-onos;02:53:40.516434000;71;000000000000003c-3<-->00:00:00:00:00:3d-32
2018-11-21 02:53:41,288;TSHARK-onos;02:53:40.593316000;72;0000000000000037-3<-->00:00:00:00:00:38-32
2018-11-21 02:53:41,289;TSHARK-onos;02:53:40.593650000;73;0000000000000059-3<-->00:00:00:00:00:5a-32
2018-11-21 02:53:41,291;TSHARK-onos;02:53:40.594890000;74;0000000000000039-2<-->00:00:00:00:00:38-33
2018-11-21 02:53:41,292;TSHARK-onos;02:53:40.595497000;75;0000000000000040-3<-->00:00:00:00:00:41-32
2018-11-21 02:53:41,292;TSHARK-onos;02:53:40.595697000;76;0000000000000045-2<-->00:00:00:00:00:44-33
2018-11-21 02:53:41,308;TSHARK-onos;02:53:40.830156000;77;0000000000000010-3<-->00:00:00:00:00:11-32
2018-11-21 02:53:41,308;TSHARK-onos;02:53:40.830861000;78;0000000000000001-2<-->00:00:00:00:00:02-32
2018-11-21 02:53:41,311;TSHARK-onos;02:53:40.852341000;79;000000000000001c-3<-->00:00:00:00:00:1d-32
2018-11-21 02:53:41,311;TSHARK-onos;02:53:40.852753000;80;0000000000000029-3<-->00:00:00:00:00:2a-32
2018-11-21 02:53:41,311;TSHARK-onos;02:53:40.852955000;81;0000000000000012-2<-->00:00:00:00:00:11-33
2018-11-21 02:53:41,312;TSHARK-onos;02:53:40.853268000;82;0000000000000030-3<-->00:00:00:00:00:31-32
2018-11-21 02:53:41,314;TSHARK-onos;02:53:40.853894000;83;0000000000000003-2<-->00:00:00:00:00:02-33
2018-11-21 02:53:41,314;TSHARK-onos;02:53:40.854737000;84;0000000000000015-2<-->00:00:00:00:00:14-33
2018-11-21 02:53:41,314;TSHARK-onos;02:53:40.855110000;85;0000000000000032-2<-->00:00:00:00:00:31-33
2018-11-21 02:53:41,315;TSHARK-onos;02:53:40.855327000;86;000000000000001e-2<-->00:00:00:00:00:1d-33
2018-11-21 02:53:41,315;TSHARK-onos;02:53:40.855428000;87;000000000000002b-2<-->00:00:00:00:00:2a-33
2018-11-21 02:53:41,315;TSHARK-onos;02:53:40.855522000;88;0000000000000013-3<-->00:00:00:00:00:14-32
