tcpport;dpid;stamptime
57324;[0000000000000051, 02:53:40.114114000]
57320;[0000000000000046, 02:53:39.456745000]
57322;[0000000000000063, 02:53:39.457300000]
57220;[0000000000000026, 02:53:38.945185000]
57222;[0000000000000029, 02:53:38.945783000]
57224;[0000000000000005, 02:53:38.946168000]
57226;[0000000000000028, 02:53:38.947080000]
57228;[0000000000000012, 02:53:38.947434000]
57286;[000000000000005f, 02:53:40.096148000]
57284;[000000000000002f, 02:53:38.959743000]
57282;[0000000000000001, 02:53:38.959548000]
57280;[0000000000000006, 02:53:38.959350000]
57288;[0000000000000035, 02:53:39.450844000]
57232;[0000000000000009, 02:53:38.948924000]
57230;[0000000000000018, 02:53:38.948717000]
57236;[0000000000000030, 02:53:38.949313000]
57234;[000000000000002e, 02:53:38.949117000]
57238;[0000000000000019, 02:53:38.949629000]
57290;[000000000000003a, 02:53:39.452655000]
57292;[000000000000004e, 02:53:39.452997000]
57294;[0000000000000054, 02:53:39.453327000]
57296;[000000000000003b, 02:53:39.453707000]
57298;[0000000000000058, 02:53:39.454084000]
57112;[0000000000000020, 02:53:37.626038000]
57110;[0000000000000015, 02:53:37.625727000]
57116;[000000000000003e, 02:53:38.875129000]
57192;[000000000000003f, 02:53:38.961572000]
57190;[0000000000000052, 02:53:38.961187000]
57196;[0000000000000042, 02:53:38.962178000]
57194;[000000000000005c, 02:53:38.961887000]
57198;[000000000000004c, 02:53:38.962466000]
57208;[0000000000000049, 02:53:38.963942000]
57206;[000000000000003d, 02:53:38.963647000]
57204;[000000000000004d, 02:53:38.963360000]
57202;[000000000000003c, 02:53:38.963053000]
57200;[0000000000000043, 02:53:38.962747000]
57268;[0000000000000024, 02:53:38.956094000]
57264;[000000000000000c, 02:53:38.955406000]
57266;[0000000000000016, 02:53:38.955605000]
57260;[0000000000000022, 02:53:38.953764000]
57262;[000000000000001b, 02:53:38.954608000]
57188;[000000000000005b, 02:53:38.960902000]
57184;[0000000000000044, 02:53:38.960331000]
57186;[0000000000000050, 02:53:38.960617000]
57180;[000000000000005a, 02:53:38.959152000]
57182;[0000000000000041, 02:53:38.960037000]
57218;[0000000000000023, 02:53:38.944549000]
57210;[0000000000000038, 02:53:38.964250000]
57212;[0000000000000062, 02:53:38.964544000]
57214;[000000000000001a, 02:53:38.943722000]
57216;[000000000000001c, 02:53:38.943967000]
57278;[0000000000000013, 02:53:38.958854000]
57276;[000000000000002b, 02:53:38.958659000]
57274;[000000000000001e, 02:53:38.958472000]
57272;[000000000000000b, 02:53:38.957101000]
57270;[0000000000000032, 02:53:38.956301000]
57104;[0000000000000010, 02:53:37.624840000]
57106;[0000000000000027, 02:53:37.625145000]
57100;[0000000000000002, 02:53:37.623953000]
57102;[000000000000002c, 02:53:37.624429000]
57108;[0000000000000025, 02:53:37.625437000]
57314;[0000000000000060, 02:53:39.456334000]
57248;[000000000000000a, 02:53:38.952256000]
57310;[0000000000000047, 02:53:40.112332000]
57312;[0000000000000056, 02:53:39.455995000]
57242;[0000000000000007, 02:53:38.950685000]
57240;[0000000000000003, 02:53:38.950394000]
57246;[0000000000000017, 02:53:38.951086000]
57244;[0000000000000004, 02:53:38.950885000]
57086;[000000000000001d, 02:53:37.620931000]
57088;[0000000000000031, 02:53:37.621229000]
57170;[000000000000004a, 02:53:38.956904000]
57172;[0000000000000039, 02:53:38.957400000]
57174;[0000000000000064, 02:53:38.957670000]
57176;[0000000000000040, 02:53:38.957984000]
57178;[0000000000000045, 02:53:38.958277000]
57306;[0000000000000048, 02:53:40.110393000]
57304;[000000000000005e, 02:53:40.110062000]
57302;[0000000000000034, 02:53:39.454435000]
57300;[0000000000000036, 02:53:40.109613000]
57308;[0000000000000033, 02:53:40.111105000]
57096;[000000000000002a, 02:53:37.622954000]
57094;[000000000000002d, 02:53:37.622496000]
57316;[0000000000000053, 02:53:40.112844000]
57092;[0000000000000014, 02:53:37.621998000]
57090;[0000000000000021, 02:53:37.621521000]
57098;[0000000000000011, 02:53:37.623462000]
57162;[0000000000000059, 02:53:38.954911000]
57160;[0000000000000057, 02:53:38.954406000]
57166;[000000000000004f, 02:53:38.955892000]
57164;[000000000000005d, 02:53:38.955211000]
57168;[000000000000004b, 02:53:38.956614000]
57318;[0000000000000061, 02:53:40.113178000]
57254;[0000000000000008, 02:53:38.953164000]
57256;[000000000000000f, 02:53:38.953364000]
57250;[000000000000000e, 02:53:38.952461000]
57252;[000000000000001f, 02:53:38.952969000]
57158;[0000000000000055, 02:53:38.954105000]
57156;[0000000000000037, 02:53:38.952764000]
57258;[000000000000000d, 02:53:38.953565000]
